resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
45,Homewood,Homewood,California,7881,6223,1658,1260,60,7,400,139,
396,Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116,13,333,139,
462,Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133,15,459,140,
380,Snowbird,Salt Lake City,Utah,10992,7760,3240,2500,85,13,500,145,
97,Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147,18,309,149,
96,Steamboat Springs,Steamboat Springs,Colorado,10568,6900,3668,2956,165,16,349,155,
58,Heavenly Mountain Resort,South Lake Tahoe,California,10067,7200,3500,4800,94,30,360,164,
62,Northstar California,Truckee,California,8610,6330,2280,2904,93,19,350,169,
63,Squaw Valley-Alpine Meadows,Truckee,California,9050,6200,2850,6400,277,43,450,169,
86,Keystone Resort,Keystone,Colorado,12408,9280,3128,3148,131,20,235,169,
213,Big Sky Resort,Bozeman,Montana,11166,6800,4350,5800,317,36,400,170,
69,Buttermilk,Aspen,Colorado,9900,7870,2030,435,44,8,200,174,
70,Aspen Mountain,Aspen,Colorado,11212,7945,3267,673,76,8,300,174,
71,Snowmass,Aspen,Colorado,12510,8104,4406,3362,96,17,300,174,
49,Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150,28,420,179,
373,Park City Mountain Resort,Park City,Utah,10000,6900,3100,7300,348,41,360,179,
73,Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600,3398,2908,187,34,353,189,
79,Copper Mountain,Frisco,Colorado,12313,9712,2601,2450,126,22,282,190,
72,Beaver Creek,Avon,Colorado,11440,8100,3340,1832,150,24,195,209,
98,Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195,31,354,209,
374,Deer Valley,Park City,Utah,9570,6570,3000,2026,100,21,280,209,
